School Name,Division Name,Bachelors_Percent,Masters_Percent,Doctoral_Percent
Bay View Elementary,Norfolk City Public Schools,39.0,56.0,2.0
Bayside 6th Grade Campus,Virginia Beach City Public Schools,53.0,47.0,0.0
Bayside Elementary,Virginia Beach City Public Schools,56.0,39.0,0.0
Bayside High,Virginia Beach City Public Schools,49.0,46.0,4.0
Bayside Middle,Virginia Beach City Public Schools,50.0,46.0,2.0
Beaverdam Elementary,Hanover County Public Schools,14.0,83.0,3.0
Bedford Elementary,Bedford County Public Schools,59.0,38.0,0.0
Bedford Hills Elementary,Lynchburg City Public Schools,50.0,42.0,0.0
Beech Tree Elementary,Fairfax County Public Schools,23.0,74.0,2.0
Bel Air Elementary,Prince William County Public Schools,27.0,71.0,0.0
Belfast Elementary,Russell County Public Schools,45.0,55.0,0.0
Belfield Elementary,Greensville County Public Schools,76.0,18.0,0.0
Bell Creek Middle,Hanover County Public Schools,40.0,57.0,1.0
Belle Heth Elementary,Radford City Public Schools,48.0,51.0,0.0
Belle View Elementary,Fairfax County Public Schools,28.0,70.0,2.0
Bellevue Elementary,Richmond City Public Schools,33.0,62.0,0.0
Bellwood Elementary,Chesterfield County Public Schools,41.0,59.0,0.0
Belmont Elementary,Prince William County Public Schools,31.0,69.0,0.0
Belmont Ridge Middle,Loudoun County Public Schools,32.0,64.0,2.0
Belvedere Elementary,Fairfax County Public Schools,35.0,63.0,2.0
Belview Elementary,Montgomery County Public Schools,52.0,45.0,3.0
Benjamin Franklin Middle,Franklin County Public Schools,48.0,50.0,0.0
Benjamin Syms Middle,Hampton City Public Schools,52.0,42.0,2.0
Bennett Elementary,Prince William County Public Schools,30.0,70.0,0.0
Bensley Elementary,Chesterfield County Public Schools,44.0,56.0,0.0
Berkeley Elementary,Spotsylvania County Public Schools,24.0,73.0,0.0
Berkeley Middle,Williamsburg-James City County Public Schools,28.0,66.0,1.0
Bessie Weller Elementary,Staunton City Public Schools,56.0,41.0,0.0
Bethel Elementary,Gloucester County Public Schools,41.0,57.0,0.0
Bethel High,Hampton City Public Schools,40.0,52.0,2.0
Bethel Manor Elementary,York County Public Schools,40.0,60.0,0.0
Bettie Weaver Elementary,Chesterfield County Public Schools,44.0,54.0,0.0
Beulah Elementary,Chesterfield County Public Schools,51.0,47.0,1.0
Beverley Manor Middle,Augusta County Public Schools,45.0,48.0,2.0
Big Island Elementary,Bedford County Public Schools,63.0,38.0,0.0
Binford Middle,Richmond City Public Schools,25.0,70.0,3.0
Birdneck Elementary,Virginia Beach City Public Schools,49.0,49.0,2.0
Blacksburg High,Montgomery County Public Schools,30.0,65.0,0.0
Blacksburg Middle,Montgomery County Public Schools,34.0,63.0,2.0
Blackstone Primary,Nottoway County Public Schools,54.0,43.0,3.0
Blackwell Elementary,Richmond City Public Schools,34.0,66.0,0.0
Blair Middle,Norfolk City Public Schools,41.0,53.0,1.0
Bland County High,Bland County Public Schools,47.0,51.0,1.0
Blue Ridge Elementary,Patrick County Public Schools,67.0,30.0,0.0
Blue Ridge Middle,Loudoun County Public Schools,31.0,66.0,2.0
Bluestone Elementary,Harrisonburg City Public Schools,27.0,73.0,0.0
Bon Air Elementary,Chesterfield County Public Schools,43.0,55.0,2.0
Bonnie Brae Elementary,Fairfax County Public Schools,20.0,77.0,1.0
Bonsack Elementary,Roanoke County Public Schools,61.0,39.0,0.0
